,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713455689.0068004,1713455689.0439343,1713455689.0253673,0.03713393211364746,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0): 3324}",3324,89513.816900052,tcp://10.201.3.17:45521,incoming_transfer,tcp://10.201.3.17:35547,1713455689.0332189,
1,1713455689.007343,1713455689.0488336,1713455689.0280883,0.04149055480957031,"{('array-8838909ee9756e34565341881e2e6f0c', 121): 336}",336,8098.228658116122,tcp://10.201.3.17:33095,incoming_transfer,tcp://10.201.3.17:42345,1713455689.037714,
2,1713455689.0068004,1713455689.0439343,1713455689.0253673,0.03713393211364746,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0): 3324}",3324,89513.816900052,tcp://10.201.3.17:45521,incoming_transfer,tcp://10.201.3.17:35547,1713455689.0587866,
3,1713455689.0655243,1713455689.068964,1713455689.067244,0.003439664840698242,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 94, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 102, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 110, 0, 0, 0): 3324}",13296,3865492.8941567894,tcp://10.201.3.17:45521,incoming_transfer,tcp://10.201.3.17:35547,1713455689.0587912,
4,1713455686.7389755,1713455686.7921839,1713455686.7655797,0.053208351135253906,"{('array-8838909ee9756e34565341881e2e6f0c', 122): 336}",336,6314.798200491101,tcp://10.201.3.17:35547,incoming_transfer,tcp://10.201.3.17:45521,1713455689.0809312,
5,1713455686.768103,1713455686.769959,1713455689.056404,0.001856088638305664,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 94, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 102, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 110, 0, 0, 0): 3324}",13296,7163450.99344894,tcp://10.201.3.17:35547,outgoing_transfer,tcp://10.201.3.17:45521,1713455689.0831385,2361.0
6,1713455689.007343,1713455689.0488336,1713455689.0280883,0.04149055480957031,"{('array-8838909ee9756e34565341881e2e6f0c', 121): 336}",336,8098.228658116122,tcp://10.201.3.17:33095,incoming_transfer,tcp://10.201.3.17:42345,1713455689.1001823,
7,1713455689.071163,1713455689.1105015,1713455689.0908322,0.03933858871459961,"{('array-8838909ee9756e34565341881e2e6f0c', 117): 336, ('array-8838909ee9756e34565341881e2e6f0c', 101): 336, ('array-8838909ee9756e34565341881e2e6f0c', 109): 336, ('array-8838909ee9756e34565341881e2e6f0c', 93): 336}",1344,34164.92670214184,tcp://10.201.3.17:33095,incoming_transfer,tcp://10.201.3.17:42345,1713455689.1001852,
8,1713455686.7389755,1713455686.7921839,1713455686.7655797,0.053208351135253906,"{('array-8838909ee9756e34565341881e2e6f0c', 122): 336}",336,6314.798200491101,tcp://10.201.3.17:35547,incoming_transfer,tcp://10.201.3.17:45521,1713455689.1193235,
9,1713455686.8211925,1713455686.831477,1713455686.8263347,0.010284423828125,"{('array-8838909ee9756e34565341881e2e6f0c', 106): 336, ('array-8838909ee9756e34565341881e2e6f0c', 114): 336, ('array-8838909ee9756e34565341881e2e6f0c', 98): 336}",1008,98012.29673590504,tcp://10.201.3.17:35547,incoming_transfer,tcp://10.201.3.17:45521,1713455689.119326,
