,key,start,finish,called_from,time
0,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455684.0794563
1,"('array-8838909ee9756e34565341881e2e6f0c', 126)",released,waiting,tcp://10.201.3.17:35547,1713455684.0798905
2,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455684.0798743
3,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455684.0808039
4,"('array-8838909ee9756e34565341881e2e6f0c', 125)",released,waiting,tcp://10.201.3.17:33095,1713455684.0809116
5,"('array-8838909ee9756e34565341881e2e6f0c', 126)",waiting,ready,tcp://10.201.3.17:35547,1713455684.0816116
6,"('array-8838909ee9756e34565341881e2e6f0c', 125)",waiting,ready,tcp://10.201.3.17:33095,1713455684.0816386
7,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455684.081628
8,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 126, 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455684.0816076
9,"('array-8838909ee9756e34565341881e2e6f0c', 126)",ready,executing,tcp://10.201.3.17:35547,1713455684.083661
10,"('array-8838909ee9756e34565341881e2e6f0c', 125)",ready,executing,tcp://10.201.3.17:33095,1713455684.0836654
11,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455684.083673
12,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 122, 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455684.0838795
13,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 122, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455684.0855196
14,"('array-8838909ee9756e34565341881e2e6f0c', 121)",released,waiting,tcp://10.201.3.17:33095,1713455684.085601
15,"('array-8838909ee9756e34565341881e2e6f0c', 122)",released,waiting,tcp://10.201.3.17:35547,1713455684.0856442
16,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455684.08574
17,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 122, 0, 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455684.0873494
18,"('array-8838909ee9756e34565341881e2e6f0c', 122)",waiting,ready,tcp://10.201.3.17:35547,1713455684.0873623
19,"('array-8838909ee9756e34565341881e2e6f0c', 121)",waiting,ready,tcp://10.201.3.17:33095,1713455684.087368
20,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455684.0874572
21,"('array-8838909ee9756e34565341881e2e6f0c', 122)",ready,executing,tcp://10.201.3.17:35547,1713455684.098733
22,"('array-8838909ee9756e34565341881e2e6f0c', 121)",ready,executing,tcp://10.201.3.17:33095,1713455684.09878
23,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455684.0987892
24,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",released,waiting,tcp://10.201.3.17:45521,1713455684.0989535
25,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:45521,1713455684.1024454
26,"('array-8838909ee9756e34565341881e2e6f0c', 118)",released,waiting,tcp://10.201.3.17:35547,1713455684.1025612
27,"('array-8838909ee9756e34565341881e2e6f0c', 117)",released,waiting,tcp://10.201.3.17:33095,1713455684.1025949
28,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 117, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455684.1027205
