,key,start,finish,called_from,time
0,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,released,waiting,tcp://10.201.1.175:34267,1713553301.0305839
1,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,released,waiting,tcp://10.201.1.175:33783,1713553301.0305882
2,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,released,waiting,tcp://10.201.1.175:39657,1713553301.030592
3,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,released,waiting,tcp://10.201.1.175:36351,1713553301.0305896
4,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,waiting,ready,tcp://10.201.1.175:39657,1713553301.0309966
5,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,waiting,ready,tcp://10.201.1.175:34267,1713553301.0309806
6,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,waiting,ready,tcp://10.201.1.175:33783,1713553301.0309966
7,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,waiting,ready,tcp://10.201.1.175:36351,1713553301.0310051
8,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,ready,executing,tcp://10.201.1.175:39657,1713553301.0332634
9,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,ready,executing,tcp://10.201.1.175:34267,1713553301.0332685
10,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,ready,executing,tcp://10.201.1.175:36351,1713553301.0332854
11,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,ready,executing,tcp://10.201.1.175:33783,1713553301.0332775
12,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,executing,memory,tcp://10.201.1.175:33783,1713553304.3267474
13,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,executing,memory,tcp://10.201.1.175:34267,1713553304.3388286
14,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,executing,memory,tcp://10.201.1.175:36351,1713553304.3498406
15,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,executing,memory,tcp://10.201.1.175:39657,1713553304.3752484
16,list-8606d556-c6f4-465b-933b-4f2338e69364,released,waiting,tcp://10.201.1.175:33783,1713553304.3782403
17,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,released,fetch,tcp://10.201.1.175:33783,1713553304.3787048
18,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,released,fetch,tcp://10.201.1.175:33783,1713553304.3793087
19,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,released,fetch,tcp://10.201.1.175:33783,1713553304.379893
20,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,fetch,flight,tcp://10.201.1.175:33783,1713553304.3805766
21,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,fetch,flight,tcp://10.201.1.175:33783,1713553304.3810735
22,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,fetch,flight,tcp://10.201.1.175:33783,1713553304.3816354
23,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,flight,memory,tcp://10.201.1.175:33783,1713553304.3919241
24,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,flight,memory,tcp://10.201.1.175:33783,1713553304.3934789
25,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,flight,memory,tcp://10.201.1.175:33783,1713553304.3958993
26,list-8606d556-c6f4-465b-933b-4f2338e69364,waiting,ready,tcp://10.201.1.175:33783,1713553304.3975396
27,list-8606d556-c6f4-465b-933b-4f2338e69364,ready,executing,tcp://10.201.1.175:33783,1713553304.3983982
28,list-8606d556-c6f4-465b-933b-4f2338e69364,executing,memory,tcp://10.201.1.175:33783,1713553304.400093
29,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,memory,released,tcp://10.201.1.175:33783,1713553304.4082718
30,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,memory,released,tcp://10.201.1.175:36351,1713553304.4083848
31,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,memory,released,tcp://10.201.1.175:39657,1713553304.4083972
32,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,memory,released,tcp://10.201.1.175:34267,1713553304.4084377
