,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713553313.0936546,1713553313.1014042,1713553313.0975294,0.0077495574951171875,{'_dask_helper-3ef65036-fbe1-48a5-9ebd-f94b2621e8bc': 50208},50208,6478821.536795471,tcp://10.201.3.251:37849,incoming_transfer,tcp://10.201.3.251:38881,1713553313.108505,
1,1713553313.0936546,1713553313.1014042,1713553313.0975294,0.0077495574951171875,{'_dask_helper-3ef65036-fbe1-48a5-9ebd-f94b2621e8bc': 50208},50208,6478821.536795471,tcp://10.201.3.251:37849,incoming_transfer,tcp://10.201.3.251:38881,1713553313.1101599,
2,1713553313.0935984,1713553313.103091,1713553313.0983446,0.009492635726928711,{'_dask_helper-b0991656-441d-4e5d-b51d-1f863809ef7f': 50208},50208,5289152.712093432,tcp://10.201.3.251:34939,incoming_transfer,tcp://10.201.3.251:38881,1713553313.1101627,
3,1713553313.0935984,1713553313.103091,1713553313.0983446,0.009492635726928711,{'_dask_helper-b0991656-441d-4e5d-b51d-1f863809ef7f': 50208},50208,5289152.712093432,tcp://10.201.3.251:34939,incoming_transfer,tcp://10.201.3.251:38881,1713553313.1125658,
4,1713553313.093694,1713553313.105478,1713553313.099586,0.011784076690673828,{'_dask_helper-0c889147-50cf-4de4-ade2-4a9144ab35ed': 50208},50208,4260664.735807065,tcp://10.201.3.251:37899,incoming_transfer,tcp://10.201.3.251:38881,1713553313.1125684,
5,1713553313.0956323,1713553313.101193,1713553313.1054316,0.005560636520385742,{'_dask_helper-3ef65036-fbe1-48a5-9ebd-f94b2621e8bc': 50208},50208,9029182.147751147,tcp://10.201.3.251:38881,outgoing_transfer,tcp://10.201.3.251:37849,1713553313.1259842,50254.0
6,1713553313.096009,1713553313.1056027,1713553313.1075006,0.009593725204467773,{'_dask_helper-0c889147-50cf-4de4-ade2-4a9144ab35ed': 50208},50208,5233420.692164319,tcp://10.201.3.251:38881,outgoing_transfer,tcp://10.201.3.251:37899,1713553313.125966,50254.0
7,1713553313.0960124,1713553313.1034262,1713553313.1061797,0.0074138641357421875,{'_dask_helper-b0991656-441d-4e5d-b51d-1f863809ef7f': 50208},50208,6772176.975559558,tcp://10.201.3.251:38881,outgoing_transfer,tcp://10.201.3.251:34939,1713553313.1260111,50254.0
8,1713553313.138149,1713553313.1409893,1713553313.146265,0.002840280532836914,{'list-e9b253c1-4e6c-4d13-8325-b98485686968': 200992},200992,70764840.89381348,,outgoing_transfer,tcp://10.201.3.251:38881,1713553313.1602561,200317.0
9,1713553326.7043695,1713553326.724433,1713553326.7142437,0.020063400268554688,{'list-8bd16c27-71ca-424d-9bd5-415d63424a27': 4961288},4961288,247280517.43930033,,outgoing_transfer,tcp://10.201.3.251:43083,1713553326.7512872,5584655.0
10,1713553340.310159,1713553340.312761,1713553340.3129342,0.002602100372314453,{'list-80dac058-55ee-462e-bf63-de212e84d678': 80328},80328,30870446.37273227,,outgoing_transfer,tcp://10.201.3.251:45171,1713553340.3216407,92520.0
