,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
0,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0838964
1,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0849276
2,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0854845
3,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0863843
4,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0871031
5,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.087949
6,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.088668
7,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.0894883
8,list-184a066f-f677-4347-96ee-98764a61e892,,,list,list,released,waiting,update-graph-1713553302.746058,tcp://10.201.3.252:8786,,,,,1713553307.090219
9,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,22549888405504,tcp://10.201.4.19:41961,dask_helper,dask_helper,processing,memory,task-finished-1713553312.8211253,tcp://10.201.3.252:8786,1713553311.4604566,1713553314.69199,3.2315332889556885,50248,1713553312.8226557
10,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,22751634112512,tcp://10.201.4.19:40351,dask_helper,dask_helper,processing,memory,task-finished-1713553312.9699028,tcp://10.201.3.252:8786,1713553311.453745,1713553314.8340845,3.3803396224975586,50208,1713553312.971275
11,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,23033052684288,tcp://10.201.4.19:36321,dask_helper,dask_helper,processing,memory,task-finished-1713553312.9758134,tcp://10.201.3.252:8786,1713553311.4557526,1713553314.8420303,3.386277675628662,50208,1713553312.9769754
12,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,22650989088768,tcp://10.201.4.19:35707,dask_helper,dask_helper,processing,memory,task-finished-1713553313.0004206,tcp://10.201.3.252:8786,1713553311.4544888,1713553314.8653314,3.4108426570892334,50208,1713553313.0018578
13,list-184a066f-f677-4347-96ee-98764a61e892,,,list,list,waiting,processing,task-finished-1713553313.0004206,tcp://10.201.3.252:8786,,,,,1713553313.0022244
14,list-184a066f-f677-4347-96ee-98764a61e892,22549638475776,tcp://10.201.4.19:41961,list,list,processing,memory,task-finished-1713553313.024026,tcp://10.201.3.252:8786,1713553313.00785,1713553313.0155714,0.007721424102783203,200992,1713553313.027595
15,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,,,dask_helper,dask_helper,memory,released,task-finished-1713553313.024026,tcp://10.201.3.252:8786,,,,,1713553313.027849
16,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,,,dask_helper,dask_helper,memory,released,task-finished-1713553313.024026,tcp://10.201.3.252:8786,,,,,1713553313.029169
17,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,,,dask_helper,dask_helper,memory,released,task-finished-1713553313.024026,tcp://10.201.3.252:8786,,,,,1713553313.0302694
18,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,,,dask_helper,dask_helper,memory,released,task-finished-1713553313.024026,tcp://10.201.3.252:8786,,,,,1713553313.0313306
19,list-184a066f-f677-4347-96ee-98764a61e892,,,list,list,memory,forgotten,client-releases-keys-1713553313.061797,tcp://10.201.3.252:8786,,,,,1713553313.0618546
20,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553313.061797,tcp://10.201.3.252:8786,,,,,1713553313.0620542
21,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553313.061797,tcp://10.201.3.252:8786,,,,,1713553313.0634434
22,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553313.061797,tcp://10.201.3.252:8786,,,,,1713553313.064606
23,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553313.061797,tcp://10.201.3.252:8786,,,,,1713553313.0657563
24,_dask_helper-b345f6c6-2e4b-4702-9f63-e787afc91d39,,,dask_helper,dask_helper,released,waiting,update-graph-1713553313.072824,tcp://10.201.3.252:8786,,,,,1713553313.080252
25,_dask_helper-b345f6c6-2e4b-4702-9f63-e787afc91d39,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553313.072824,tcp://10.201.3.252:8786,,,,,1713553313.0810854
26,list-a2f13e0f-358f-4f0b-9922-84fe23be8a40,,,list,list,released,waiting,update-graph-1713553313.072824,tcp://10.201.3.252:8786,,,,,1713553313.082195
27,_dask_helper-b345f6c6-2e4b-4702-9f63-e787afc91d39,22608114655232,tcp://10.201.4.19:43619,dask_helper,dask_helper,processing,memory,task-finished-1713553326.5726767,tcp://10.201.3.252:8786,1713553313.7330441,1713553326.5723372,12.839293003082275,4961200,1713553326.5741494
28,list-a2f13e0f-358f-4f0b-9922-84fe23be8a40,,,list,list,waiting,processing,task-finished-1713553326.5726767,tcp://10.201.3.252:8786,,,,,1713553326.5748715
29,list-a2f13e0f-358f-4f0b-9922-84fe23be8a40,22608114655232,tcp://10.201.4.19:43619,list,list,processing,memory,task-finished-1713553326.5804062,tcp://10.201.3.252:8786,1713553326.5772874,1713553326.5788796,0.0015921592712402344,4961288,1713553326.5816455
30,_dask_helper-b345f6c6-2e4b-4702-9f63-e787afc91d39,,,dask_helper,dask_helper,memory,released,task-finished-1713553326.5804062,tcp://10.201.3.252:8786,,,,,1713553326.5818784
31,list-a2f13e0f-358f-4f0b-9922-84fe23be8a40,,,list,list,memory,forgotten,client-releases-keys-1713553326.6283607,tcp://10.201.3.252:8786,,,,,1713553326.6283972
32,_dask_helper-b345f6c6-2e4b-4702-9f63-e787afc91d39,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553326.6283607,tcp://10.201.3.252:8786,,,,,1713553326.628583
33,_dask_helper-ab278fd9-98c0-4b44-a698-cd670740d775,,,dask_helper,dask_helper,released,waiting,update-graph-1713553326.639827,tcp://10.201.3.252:8786,,,,,1713553326.6468031
34,_dask_helper-ab278fd9-98c0-4b44-a698-cd670740d775,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553326.639827,tcp://10.201.3.252:8786,,,,,1713553326.647682
35,list-b2cfb5e8-cffd-4eec-8365-8ce4eb2a7e1f,,,list,list,released,waiting,update-graph-1713553326.639827,tcp://10.201.3.252:8786,,,,,1713553326.6487424
36,_dask_helper-ab278fd9-98c0-4b44-a698-cd670740d775,22564748242944,tcp://10.201.4.19:46431,dask_helper,dask_helper,processing,memory,task-finished-1713553340.044379,tcp://10.201.3.252:8786,1713553327.2920902,1713553340.0440874,12.751997232437134,80240,1713553340.0458891
37,list-b2cfb5e8-cffd-4eec-8365-8ce4eb2a7e1f,,,list,list,waiting,processing,task-finished-1713553340.044379,tcp://10.201.3.252:8786,,,,,1713553340.0463965
38,list-b2cfb5e8-cffd-4eec-8365-8ce4eb2a7e1f,22564748242944,tcp://10.201.4.19:46431,list,list,processing,memory,task-finished-1713553340.0503504,tcp://10.201.3.252:8786,1713553340.0473619,1713553340.0474167,5.4836273193359375e-05,80328,1713553340.0514581
39,_dask_helper-ab278fd9-98c0-4b44-a698-cd670740d775,,,dask_helper,dask_helper,memory,released,task-finished-1713553340.0503504,tcp://10.201.3.252:8786,,,,,1713553340.0517602
40,list-b2cfb5e8-cffd-4eec-8365-8ce4eb2a7e1f,,,list,list,memory,forgotten,client-releases-keys-1713553340.0632994,tcp://10.201.3.252:8786,,,,,1713553340.0633373
41,_dask_helper-ab278fd9-98c0-4b44-a698-cd670740d775,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553340.0632994,tcp://10.201.3.252:8786,,,,,1713553340.0635371
