,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713541506.1662946,1713541596.1207266,1713541551.1435106,89.95443201065063,"{('read_parquet-fused-assign-575173f9ee7b9cf9810941559870e161', 56): 137519521}",137519521,1528768.7101811464,tcp://10.201.2.237:35177,incoming_transfer,tcp://10.201.2.237:33741,1713541596.9265172,
1,1713541508.875283,1713541596.1071165,1713541552.5152469,87.23183345794678,"{('read_parquet-fused-assign-575173f9ee7b9cf9810941559870e161', 56): 137519521}",137519521,1576483.2120179636,tcp://10.201.2.237:33741,outgoing_transfer,tcp://10.201.2.237:35177,1713541599.2944245,137503994.0
2,1713541645.5570464,1713541646.3606644,1713541645.9588554,0.8036179542541504,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 56): 17051}",17051,21217.79374108843,tcp://10.201.2.237:33741,incoming_transfer,tcp://10.201.2.237:38275,1713541646.394303,
3,1713541646.1137922,1713541646.363898,1713541646.2610953,0.2501058578491211,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 56): 17051}",17051,68175.13250843645,tcp://10.201.2.237:38275,outgoing_transfer,tcp://10.201.2.237:33741,1713541667.09332,3763.0
4,1713541645.5570464,1713541646.3606644,1713541645.9588554,0.8036179542541504,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 56): 17051}",17051,21217.79374108843,tcp://10.201.2.237:33741,incoming_transfer,tcp://10.201.2.237:38275,1713541668.4955242,
5,1713541645.5591292,1713541668.4950798,1713541657.0271044,22.93595051765442,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 57): 17077}",17077,744.5516586223612,tcp://10.201.2.237:35177,incoming_transfer,tcp://10.201.2.237:38275,1713541668.495528,
6,1713541508.875283,1713541596.1071165,1713541552.5152469,87.23183345794678,"{('read_parquet-fused-assign-575173f9ee7b9cf9810941559870e161', 56): 137519521}",137519521,1576483.2120179636,tcp://10.201.2.237:33741,outgoing_transfer,tcp://10.201.2.237:35177,1713541684.8616974,137503994.0
7,1713541668.2853029,1713541668.5168195,1713541668.4027367,0.23151659965515137,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 57): 17077}",17077,73761.44961284217,tcp://10.201.2.237:38275,outgoing_transfer,tcp://10.201.2.237:35177,1713541684.8617003,3781.0
8,1713541645.5591292,1713541668.4950798,1713541657.0271044,22.93595051765442,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 57): 17077}",17077,744.5516586223612,tcp://10.201.2.237:35177,incoming_transfer,tcp://10.201.2.237:38275,1713541691.733102,
9,1713541686.0229924,1713541691.7325761,1713541688.8777843,5.709583759307861,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 69): 17047, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 66): 17039, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 71): 16989, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 68): 16987, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 67): 17049, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 70): 17063}",102174,17895.17490367563,tcp://10.201.2.237:33741,incoming_transfer,tcp://10.201.2.237:38275,1713541691.7331076,
10,1713541646.1137922,1713541646.363898,1713541646.2610953,0.2501058578491211,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 56): 17051}",17051,68175.13250843645,tcp://10.201.2.237:38275,outgoing_transfer,tcp://10.201.2.237:33741,1713541691.7717948,3763.0
11,1713541690.9279706,1713541691.4768517,1713541691.463508,0.5488810539245605,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 69): 17047, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 66): 17039, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 71): 16989, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 68): 16987, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 67): 17049, ('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 70): 17063}",102174,186149.62070460356,tcp://10.201.2.237:38275,outgoing_transfer,tcp://10.201.2.237:33741,1713541691.7718,22193.0
12,1713541710.5143232,1713541710.5189042,1713541710.5166137,0.004580974578857422,"{('getitem-_get_categories-3db96266abfb837b0a44090fccaefb4e', 17): 17858}",17858,3898297.1183512025,tcp://10.201.2.237:33741,incoming_transfer,tcp://10.201.2.137:35227,1713541710.5197277,
